1.15E-01,1.14E-01
1.21E-01,1.20E-01
1.65E-01,1.78E-01
2.17E-01,2.25E-01
2.86E-01,2.95E-01
3.19E-01,3.05E-01
3.38E-01,3.31E-01
3.78E-01,4.17E-01
4.20E-01,4.17E-01
4.17E-01,3.79E-01
4.05E-01,4.28E-01
4.39E-01,4.35E-01
4.38E-01,4.18E-01
4.34E-01,4.29E-01
4.36E-01,4.45E-01
4.45E-01,4.19E-01
4.37E-01,4.97E-01
4.89E-01,4.98E-01
5.07E-01,3.98E-01
4.83E-01,5.12E-01
4.97E-01,5.32E-01
5.45E-01,5.75E-01
5.87E-01,5.74E-01
5.91E-01,5.90E-01
5.94E-01,6.07E-01
6.21E-01,5.90E-01
6.13E-01,6.07E-01
6.22E-01,6.08E-01
6.09E-01,5.94E-01
6.16E-01,5.82E-01
6.17E-01,6.04E-01
6.27E-01,6.15E-01
6.45E-01,6.23E-01
6.49E-01,6.34E-01
6.63E-01,6.31E-01
6.47E-01,6.72E-01
6.62E-01,6.14E-01
6.66E-01,6.87E-01
6.75E-01,6.75E-01
6.87E-01,6.70E-01
6.80E-01,6.78E-01
7.02E-01,6.48E-01
6.80E-01,6.82E-01
6.89E-01,6.92E-01
6.93E-01,6.38E-01
6.93E-01,7.10E-01
6.99E-01,6.96E-01
7.06E-01,6.83E-01
7.19E-01,6.91E-01
7.10E-01,6.86E-01
7.07E-01,6.66E-01
7.31E-01,7.17E-01
7.30E-01,7.22E-01
7.40E-01,7.23E-01
7.22E-01,7.12E-01
7.31E-01,7.15E-01
7.25E-01,7.18E-01
7.33E-01,7.00E-01
7.25E-01,6.89E-01
7.29E-01,7.28E-01
7.42E-01,6.95E-01
7.47E-01,7.32E-01
7.59E-01,7.45E-01
7.66E-01,7.50E-01
7.69E-01,7.46E-01
7.63E-01,7.60E-01
7.68E-01,7.45E-01
7.71E-01,7.48E-01
7.62E-01,7.50E-01
7.73E-01,7.42E-01
7.68E-01,7.57E-01
7.73E-01,6.57E-01
7.55E-01,7.68E-01
7.71E-01,7.38E-01
7.74E-01,7.36E-01
7.76E-01,7.62E-01
7.74E-01,7.49E-01
7.73E-01,7.72E-01
7.88E-01,7.85E-01
8.00E-01,7.35E-01
7.98E-01,7.83E-01
8.05E-01,7.88E-01
8.12E-01,6.69E-01
7.74E-01,8.01E-01
7.92E-01,7.85E-01
8.02E-01,7.75E-01
8.07E-01,7.62E-01
7.99E-01,8.08E-01
8.13E-01,8.11E-01
8.16E-01,7.91E-01
8.12E-01,7.42E-01
8.08E-01,8.15E-01
